
Bana, Benir, Beno, Bilam, Bilat
Cam, Canit, Caz, Cenir, Chaniz
Chenom, Chenor, Chenos, Cher, Chilam
Chilar, Chilas, Chin, Chinim, Chinir
Cila, Cilaz, Cira, Cos, Cotar
Cu, Danas, Dem, Denim, Denis
Des, Di, Dilaz, Dim, Diram
Diran, Diras, Dit, Dotan, Dun
Fana, Fani, Fanin, Fanis, Faniz
Fenoz, Filas, Firar, Fiz, Fom
Foz, Fus, Ganar, Ganat, Gas
Ge, Genim, Ger, Gilas, Gim
Giniz, Glanam, Glanin, Glar, Gleno
Glin, Glit, Glo, Glor, Glot
Glotam, Gotar, Gum, Guz, Hana
Hani, Hanin, Has, Henit, Henoz
Hi, Hiram, Hoz, Hur, Jat
Jeni, Jenit, Jenon, Jes, Jinis
Jiram, Jotaz, Jun, Kam, Kenon
Khanaz, Kher, Khilan, Khinim, Khinir
Khis, Khot, Khotat, Khus, Kilat
Kim, Kinis, Kinit, Kira, Kot
Kota, Kuz, Lani, Le, Lenim
Leniz, Lenon, Let, Li, Lila
Lilam, Linim, Linin, Lir, Lirar
Lirat, Lis, Lut, Me, Menir
Meno, Menos, Mez, Mini, Minin
Miraz, Motam, Moz, Mu, Mun
Muz, Nanan, Nanaz, Nanim, Nilat
Nin, Nir, Nira, Niram, Niran
Niras, Nos, Notar, Num, Panam
Panar, Panas, Panis, Pe, Penir
Penos, Pilaz, Pinis, Pira, Pirat
Potan, Potat, Poz, Ranan, Ras
Renot, Ret, Rilam, Rilaz, Ru
Sa, Sanir, Senis, Shanas, Shen
Shenom, Shenot, Shilaz, Shim, Shinir
Shiram, Shiras, Shis, Shotas, Silan
Sim, Sinin, Siz, Slanit, Slen
Slenim, Slez, Slilan, Slirat, So
Sotan, Stanam, Stanan, Stanir, Stanis
Stat, Stenit, Stet, Stez, Stinis
Stiras, Stor, Stos, Stotaz, Stu
Stun, Sus, Sut, Tanaz, Tar
Tenor, Tenot, Tham, Thanam, Thaz
Thenim, Thiniz, Thota, Thotat, Thotaz
Thuz, Tilat, Tit, Totas, Totat
Tut, Vanaz, Vanin, Vanis, Venir
Venon, Venoz, Vez, Vi, Vim
Vinin, Vit, Vom, Vu, Vum
Vuz, Wanan, Wani, Wanim, Wen
Wenon, Wilan, Wilat, Wilaz, Winin
Wotaz, Woz, Wut, Zanim, Zas
Zaz, Zen, Zhanaz, Zhen, Zhenim
Zheniz, Zhenor, Zhet, Zhilam, Zhinir
Zhinit, Zhis, Zhon, Zhun, Zhut
Zila, Zirar, Zuz
